"Project name","# classes with external dependencies","of which has test","# classes without external dependencies","of which has test"
"incubator-weex","45","597","8","230"
"hive","2","4133","3","1339"
"zeppelin","112","195","9","115"
"rocketmq","80","230","13","266"
"zookeeper","52","201","14","109"
"jmeter","35","718","4","332"
"groovy","51","733","10","428"
"tomcat","3","1284","0","675"
"incubator-dubbo","194","285","53","279"
"kafka","334","433","32","378"
"storm","152","1128","21","494"
"beam","587","626","72","213"
"incubator-skywalking","110","776","50","934"
"flink","870","2146","147","970"
"cordova-android","1","21","1","15"
"incubator-heron","125","361","34","246"
"hbase","5","2526","0","747"
"cassandra","299","939","24","359"
